#bin_centers,bin_means
-4.669714285714285751e+01,2.292102992013730130e-03
-4.475142857142857622e+01,2.365054809297629894e-03
-4.280571428571428783e+01,3.460478359930357992e-03
-4.085999999999999943e+01,2.672687020930913579e-02
-3.891428571428571814e+01,1.533009460628766418e-01
-3.696857142857142975e+01,5.000348622670384158e-01
-3.502285714285714135e+01,8.919446901418431883e-01
-3.307714285714286007e+01,1.000000000000000000e+00
-3.113142857142857167e+01,1.000000000000000000e+00
-2.918571428571429038e+01,1.000000000000000000e+00
-2.724000000000000199e+01,1.000000000000000000e+00
-2.529428571428571360e+01,1.000000000000000000e+00
-2.334857142857143231e+01,1.000000000000000000e+00
-2.140285714285714391e+01,1.000000000000000000e+00
-1.945714285714285552e+01,1.000000000000000000e+00
-1.751142857142857423e+01,3.706563134758785738e-01
-1.556571428571428584e+01,3.706563134758785738e-01
-1.362000000000000099e+01,3.706563134758785738e-01
-1.167428571428571615e+01,3.706563134758785738e-01
-9.728571428571431312e+00,3.706563134758785738e-01
-7.782857142857146471e+00,3.706563134758785738e-01
-5.837142857142858077e+00,3.706563134758785738e-01
-3.891428571428573235e+00,3.706563134758785738e-01
-1.945714285714288394e+00,3.706563134758785738e-01
0.000000000000000000e+00,3.706563134758785738e-01
1.945714285714284841e+00,3.706563134758785738e-01
3.891428571428569683e+00,3.706563134758785738e-01
5.837142857142858077e+00,3.706563134758785738e-01
7.782857142857142918e+00,3.706563134758785738e-01
9.728571428571427759e+00,3.706563134758785738e-01
1.167428571428571260e+01,3.706563134758785738e-01
1.361999999999999744e+01,3.706563134758785738e-01
1.556571428571428584e+01,3.706563134758785738e-01
1.751142857142857423e+01,3.706563134758785738e-01
1.945714285714285552e+01,3.706563134758785738e-01
2.140285714285713681e+01,3.706563134758785738e-01
2.334857142857142520e+01,3.706563134758785738e-01
2.529428571428571360e+01,3.524376998097648039e-01
2.724000000000000199e+01,4.776799468517438363e-02
2.918571428571428328e+01,1.481706903731486863e-02
3.113142857142856457e+01,1.155682783856079110e-03
3.307714285714285296e+01,2.043305390194356461e-03
3.502285714285714135e+01,2.493168113533102224e-03
3.696857142857142975e+01,1.898329614735332765e-03
3.891428571428571814e+01,5.103222331073398654e-04
4.085999999999999943e+01,6.017890460423640751e-04
4.280571428571428072e+01,1.958457708836478482e-03
4.475142857142856911e+01,2.437702847322946323e-04
4.669714285714285751e+01,1.667870299120891367e-03
